road_id,area
NRA_000000003313,Meath County
NRA_000000003314,Meath County
NRA_000000003401,Westmeath County
NRA_000000003402,Westmeath County
NRA_000000003403,Meath County
NRA_000000003404,Meath County
NRA_000000003405,Meath County
NRA_000000003601,Galway County
NRA_000000003602,Galway County
NRA_000000003603,Galway County
NRA_000000003604,Galway County
NRA_000000003605,Galway County
NRA_000000003701,Laois County
NRA_000000003702,Laois County
NRA_000000003703,Laois County
NRA_000000003704,Laois County
NRA_000000003801,Cork County
NRA_000000003802,Cork County
NRA_000000003803,Cork County
NRA_000000003804,Cork County
NRA_000000003805,Cork County
NRA_000000003806,Cork County
NRA_000000010113,Wicklow County
NRA_000000015010,Dún Laoghaire-Rathdown
NRA_000000015011,Dún Laoghaire-Rathdown
NRA_000000015012,Dún Laoghaire-Rathdown
NRA_000000020011,Fingal
NRA_000000020012,Fingal
NRA_000000020014,Louth County
NRA_000000020016,Louth County
NRA_000000020018,Louth County
NRA_000000020019,Louth County
NRA_000000020021,Fingal
NRA_000000020022,Meath County
NRA_000000020023,Louth County
NRA_000000020024,Monaghan County
NRA_000000020031,Meath County
NRA_000000020032,Meath County
NRA_000000020033,Meath County
NRA_000000020034,Cavan County
NRA_000000020036,Cavan County
NRA_000000020041,Kildare County
NRA_000000020042,Kildare County
NRA_000000020044,Westmeath County
NRA_000000020045,Longford County
NRA_000000020046,Leitrim County
NRA_000000020047,South Dublin
NRA_000000020051,Roscommon County
NRA_000000020061,Westmeath County
NRA_000000020062,Westmeath County
NRA_000000020063,Offaly County
NRA_000000020064,Westmeath County
NRA_000000020065,Westmeath County
NRA_000000020066,Roscommon County
NRA_000000020067,Galway County
NRA_000000020071,Kildare County
NRA_000000020074,Kildare County
NRA_000000020075,Kildare County
NRA_000000020076,Kildare County
NRA_000000020077,Laois County
NRA_000000020078,Laois County
NRA_000000020079,Laois County
NRA_000000020081,Laois County
NRA_000000020082,Laois County
NRA_000000020083,South Tipperary
NRA_000000020084,North Tipperary
NRA_000000020085,Cork County
NRA_000000020086,Cork County
NRA_000000020087,South Tipperary
NRA_000000020088,North Tipperary
NRA_000000020089,Kilkenny County
NRA_000000020091,Kildare County
NRA_000000020092,Kildare County
NRA_000000020093,Kilkenny County
NRA_000000020094,Kilkenny County
NRA_000000020111,Dún Laoghaire-Rathdown
NRA_000000020112,Wicklow County
NRA_000000020113,Wicklow County
NRA_000000020114,Wicklow County
NRA_000000020115,Wicklow County
NRA_000000020116,Wexford County
NRA_000000020118,Wicklow County
NRA_000000020151,Donegal County
NRA_000000020152,Donegal County
NRA_000000020153,Leitrim County
NRA_000000020171,Galway County
NRA_000000020172,Galway County
NRA_000000020181,Clare County
NRA_000000020182,Clare County
NRA_000000020183,Clare County
NRA_000000020184,Clare County
NRA_000000020185,Clare County
NRA_000000020186,Clare County
NRA_000000020202,Limerick County
NRA_000000020203,Limerick County
NRA_000000020204,Cork County
NRA_000000020205,Limerick County
NRA_000000020211,Limerick County
NRA_000000020212,Limerick County
NRA_000000020221,Kerry County
NRA_000000020222,Cork County
NRA_000000020223,Cork County
NRA_000000020224,Cork County
NRA_000000020241,South Tipperary
NRA_000000020242,South Tipperary
NRA_000000020243,Limerick County
NRA_000000020251,Wexford County
NRA_000000020252,Wexford County
NRA_000000020253,Kilkenny County
NRA_000000020255,Waterford County
NRA_000000020256,Cork County
NRA_000000020257,Cork County
NRA_000000020258,Cork County
NRA_000000020301,Wexford County
NRA_000000020521,Westmeath County
NRA_000000020522,Westmeath County
NRA_000000020523,Westmeath County
NRA_000000020524,Offaly County
NRA_000000020525,Louth County
NRA_000000020526,Louth County
NRA_000000020561,Donegal County
NRA_000000020562,Donegal County
NRA_000000020563,Donegal County
NRA_000000020591,Mayo County
NRA_000000020601,Mayo County
NRA_000000020611,Roscommon County
NRA_000000020621,Offaly County
NRA_000000020671,Clare County
NRA_000000020701,Kerry County
NRA_000000020721,Cork County
NRA_000000020801,Offaly County
NRA_000000020802,Carlow County
NRA_000000020811,Wicklow County
NRA_000000020812,Carlow County
NRA_000000020861,Kerry County
NRA_000000020905,Carlow County
NRA_000000020906,Kilkenny County
NRA_000000020907,Kilkenny County
NRA_000000020908,Kilkenny County
NRA_000000031021,Meath County
NRA_000000031031,Meath County
NRA_000000031041,Meath County
NRA_000000031061,Louth County
NRA_000000200171,Louth County
NRA_000000200711,Laois County
NRA_000000200713,Limerick County
NRA_000000200714,Limerick County
NRA_000000200715,Offaly County
NRA_000000200716,Offaly County
NRA_000000200717,Laois County
NRA_000000200718,North Tipperary
NRA_000000200719,North Tipperary
NRA_000000200720,North Tipperary
NRA_000000200721,North Tipperary
NRA_000000200722,Limerick County
NRA_000000200723,Kildare County
NRA_000000200811,Cork County
NRA_000000200812,Cork County
NRA_000000201081,Fingal
NRA_000000201082,Fingal
NRA_000000201321,Meath County
NRA_000000202103,Kerry County
NRA_000000202104,Kerry County
NRA_000000202301,Kerry County
NRA_000000202639,Cork County
NRA_000000208001,Carlow County
NRA_000000001037,Meath County
NRA_000000001321,Dublin City
NRA_000000001714,Kerry County
NRA_000000003102,Meath County
NRA_000000003103,Meath County
NRA_000000003104,Meath County
NRA_000000003105,Meath County
NRA_000000003106,Louth County
NRA_000000003807,Cork County
NRA_000000020072,Kildare County
NRA_000000020073,Kildare County
NRA_000000032501,Waterford County
NRA_000000032502,Kilkenny County
NRA_000000001011,Fingal
NRA_000000001500,Fingal
NRA_000000001509,South Dublin
NRA_000000020117,Wexford County
NRA_000000001016,Louth County
NRA_000000001090,Kildare County
NRA_000000020511,Meath County
NRA_000000020013,Louth County
NRA_000000020201,Cork County
NRA_000000015091,South Dublin
NRA_000000001812,South Dublin
